SMILES,Flavor_Description,Classification
CC(C)C(=O)C(=O)O,fruity,1.0
C1=CC=C(C=C1)CCC(=O)O,balsamic,0.0
C1=CC(=CC=C1C=O)O,nutty,1.0
CC(=O)O,sour,0.0
CC=O,ethereal,0.0
CC(C(=O)C)O,fruity,1.0
C(CCC(=O)O)CC(=O)O,mint,0.0
C(CN)C(=O)O,no aroma,0.0
C1=CC=C(C=C1)C=O,almond,1.0
C1=CC=CC=C1,garlic,0.0
C1=CC=C(C=C1)C(=O)O,almond,1.0
C1=CC=C(C=C1)CO,fruity,1.0
CCCC=O,nutty,1.0
CCCCO,fruity,1.0
CCCC(=O)O,salt,0.0
CC(C)C1=CC=C(C=C1)CO,caraway,0.0
CC(C)C1=CC=C(C=C1)C=O,woody,1.0
COC1=C(C=CC(=C1)C=C)O,curry,0.0
C1=CC=C(C(=C1)C(=O)O)O,nutty,1.0
CCCCCCCC(=O)O,no aroma,0.0
CCCCCCCC=O,lemon,1.0
COC1=CC=CC=C1O,smoky,0.0
CC(=O)C(=O)C,butter,0.0
C1CC(=O)OC2=CC=CC=C21,coconut,1.0
C1=CC=C2C(=C1)C=CN2,no aroma,0.0
CC(=O)C=O,no aroma,0.0
CCCCCCCCO,citrus,1.0
CCCCCCCCCCCCCCCC(=O)O,grass,0.0
C1=CC=C(C=C1)CC(C(=O)O)N,no aroma,0.0
C1=CC=C(C=C1)O,sweet,1.0
C1=CC=C(C=C1)CC=O,rose,1.0
C1=CC=C(C=C1)CC(=O)O,rose,1.0
C1=CC=C(C=C1)CCN,fishy,0.0
CCC(=O)O,rancid,0.0
CC(=O)C(=O)O,sour; vinegar,0.0
CC(C)C(C(=O)O)N,fishy,0.0
COC1=C(C=CC(=C1)C=O)O,vanilla,1.0
CC(=O)C1=CC(=C(C=C1)O)OC,vanilla,1.0
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,balsamic,0.0
CC1(C2CCC1(C(=O)C2)C)C,mint,0.0
CCCCCCCCCCCCCCCCO,fruity,1.0
CC1=CC=C(C=C1)O,tarry; smoky,0.0
CCCCCCCCCC(=O)O,rancid,0.0
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,floral,1.0
COC1=C(C=CC(=C1)CC=C)O,cloves,1.0
CCCCCCCC=CCC#CC#CC(C=C)O,no aroma,0.0
CCCCCCCCCCCC(=O)O,lily,0.0
COC(=O)C1=CC=CC=C1O,mint,0.0
COC1=CC(=CC2=C1OCO2)CC=C,balsamic,0.0
CC(=CCCC(=CCO)C)C,rose,1.0
C1=CC=C(C=C1)CCCC(=O)O,floral,1.0
C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,sweet,1.0
C1CNCCN1,salty,0.0
C=CCC1=CC2=C(C=C1)OCO2,sassafras,0.0
C1=CC=C(C(=C1)CO)O,coconut,1.0
CCCCCCCCCCCCCCCCCC(=O)O,tallow,0.0
C([C@@H](C(=O)O)N)S,sulfurous,0.0
C([C@@H](C(=O)O)N)C(=O)O,no aroma,0.0
C=CCN=C=S,pungent,0.0
C1=CC=C(C=C1)CCO,floral,1.0
CC(C)C[C@@H](C(=O)O)N,no aroma,0.0
CCCCCC=O,grass,0.0
C1=C(NC=N1)C[C@@H](C(=O)O)N,no aroma,0.0
C[C@H]([C@@H](C(=O)O)N)O,savory,0.0
C(C[C@@H](C(=O)O)N)CN=C(N)N,no aroma,0.0
CCN,fishy; ammonia,0.0
CC(=O)OC1CC2CCC1(C2(C)C)C,pine,0.0
CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,herbaceous,0.0
CC(=CCCC(C)(C=C)O)C,lavender,1.0
CCC(=O)C,fruity,1.0
CC(=O)OC,citrus,1.0
CC(C)C(=O)O,cheese,0.0
CC1(C2CCC(C2)C1=C)C,camphoraceous,0.0
CC1=CCC2CC1C2(C)C,pine,0.0
