SMILES,Odor,All_Matched_Categories,Major_Category,Contribution
CSSSSC,"cabbage, sulfur",Sulfur/Allium,Sulfur/Allium,Neg
CSSSC,"sulfur, fish, cabbage",Sulfur/Allium|Off-flavor,Sulfur/Allium,Neg
CSSC,"onion, cabbage, putrid",Sulfur/Allium,Sulfur/Allium,Neg
CSCCCO,"sweet, potato",Sweet/Vanilla/Caramel|Off-flavor,Sweet/Vanilla/Caramel,Pos
CSCCCCN=C=S,cabbage,Sulfur/Allium,Sulfur/Allium,Neg
CSCCCCCN=C=S,cabbage,Sulfur/Allium,Sulfur/Allium,Neg
CSCCC=O,cooked potato,Off-flavor,Off-flavor,Neg
CSC#N,sulfur,Sulfur/Allium,Sulfur/Allium,Neg
CSC,"cabbage, sulfur, gasoline",Sulfur/Allium|Off-flavor,Sulfur/Allium,Neg
CS(=O)C,garlic,Sulfur/Allium,Sulfur/Allium,Neg
CS(=O)(=O)C,"sulfur, burnt",Roasted/Nutty/Toasty|Sulfur/Allium,Roasted/Nutty/Toasty,Pos
CS,"sulfur, gasoline, garlic",Sulfur/Allium|Off-flavor,Sulfur/Allium,Neg
COCC1=CC=CC=C1,metal,Off-flavor,Off-flavor,Neg
COC1=CCCCC1,"herb, spice",Green/Herbal|Spicy,Green/Herbal,Neg
COC1=CC2=C(C=C1CC=C)OCO2,"spice, pepper",Spicy,Spicy,Neg
COC1=CC2=C(C=C1)C=CC(=O)O2,"balsamic, sweet",Woody/Resinous|Sweet/Vanilla/Caramel,Woody/Resinous,Neg
COC1=CC=CC=C1O,"smoke, sweet, medicine",Roasted/Nutty/Toasty|Sweet/Vanilla/Caramel,Roasted/Nutty/Toasty,Pos
COC1=CC=C(C=C1)CO,flower,Floral,Floral,Pos
COC1=CC=C(C=C1)CC=C,"licorice, anise",Spicy,Spicy,Neg
COC1=CC=C(C=C1)C=O,"mint, sweet",Mint/Cool|Sweet/Vanilla/Caramel,Mint/Cool,Pos
COC1=CC=C(C=C1)C=C,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel,Pos
COC1=CC(=CC2=C1OCO2)CC=C,"spice, warm, balsamic",Woody/Resinous|Spicy,Woody/Resinous,Neg
COC1=CC(=CC(=C1OC)OC)CC=C,"spice, flower",Floral|Spicy,Floral,Pos
COC1=CC(=CC(=C1O)OC)CC=C,"sweet, flower",Floral|Sweet/Vanilla/Caramel,Floral,Pos
COC1=C(C2=C(C=C1CC=C)OCO2)OC,"wood, spice",Woody/Resinous|Spicy,Woody/Resinous,Neg
COC1=C(C=CC(=C1)CC=C)O,"clove, honey",Spicy|Sweet/Vanilla/Caramel,Spicy,Neg
COC1=C(C=CC(=C1)C=O)O,vanilla,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel,Pos
COC1=C(C=CC(=C1)C=C)O,"clove, curry",Spicy,Spicy,Neg
COC1=C(C=CC(=C1)C(=O)OC)O,"caramel, butterscotch, vanilla",Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel,Pos
COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC5=C(C=C4)OCO5)O,herb,Green/Herbal,Green/Herbal,Neg
COC1=C(C=C(C=C1)CC=C)OC,"clove, spice",Spicy,Spicy,Neg
COC1=C(C(=CC=C1)OC)O,"medicine, phenol, smoke",Roasted/Nutty/Toasty|Off-flavor,Roasted/Nutty/Toasty,Pos
COC(=O)C1CCCCC1,"fruit, ester",Fruity,Fruity,Pos
COC(=O)C1=CC=CC=C1O,peppermint,Mint/Cool,Mint/Cool,Pos
COC(=O)C1=CC=CC=C1N,"honey, flower",Floral|Sweet/Vanilla/Caramel,Floral,Pos
COC(=O)C1=CC=CC=C1,"prune, lettuce, herb, sweet",Green/Herbal|Sweet/Vanilla/Caramel,Green/Herbal,Neg
COC(=O)/C=C/C1=CC=CC=C1,strawberry,Fruity,Fruity,Pos
CN(C)C,fish,Off-flavor,Off-flavor,Neg
CCSC,"sulfur, garlic",Sulfur/Allium,Sulfur/Allium,Neg
CCOC=O,pungent,Spicy,Spicy,Neg
CCOC(C)OCC,"fruit, cream",Fruity|Sweet/Vanilla/Caramel,Fruity,Pos
CCOC(=O)CCC1=CC=CC=C1,flower,Floral,Floral,Pos
CCOC(=O)CCC(C)C,fruit,Fruity,Fruity,Pos
CCOC(=O)CCC(C(=O)OCC)O,cotton candy,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel,Pos
CCOC(=O)CCC(=O)OCC,"wine, fruit",Fruity|Off-flavor,Fruity,Pos
CCOC(=O)CC1=CC=CC=C1,"fruit, sweet",Fruity|Sweet/Vanilla/Caramel,Fruity,Pos
CCOC(=O)CC(C)O,marshmallow,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel,Pos
CCOC(=O)CC(C)C,fruit,Fruity,Fruity,Pos
CCOC(=O)CC(C(=O)OCC)O,"brown sugar, sweet",Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel,Pos
CCOC(=O)CC(=O)OCC,apple,Fruity,Fruity,Pos
CCOC(=O)C1CCCCC1,fruit,Fruity,Fruity,Pos
CCOC(=O)C1CCC(=O)O1,"roast, smoke",Roasted/Nutty/Toasty,Roasted/Nutty/Toasty,Pos
CCOC(=O)C1=CC=CC=C1O,"wintergreen, mint",Mint/Cool,Mint/Cool,Pos
CCOC(=O)C1=CC=CC=C1,"camomile, flower, celery, fruit",Fruity|Floral|Green/Herbal,Fruity,Pos
CCOC(=O)C1=CC(=C(C=C1)O)OC,"flower, fruit, sweet, vanilla",Fruity|Floral|Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel,Pos
