SMILES,Odor,All_Matched_Categories,Major_Category
CSSSSC,"cabbage, sulfur",Sulfur/Allium,Sulfur/Allium
CSSSC,"sulfur, fish, cabbage",Sulfur/Allium|Off-flavor,Sulfur/Allium
CSSC,"onion, cabbage, putrid",Sulfur/Allium,Sulfur/Allium
CSCCCO,"sweet, potato",Sweet/Vanilla/Caramel|Off-flavor,Sweet/Vanilla/Caramel
CSCCCCN=C=S,cabbage,Sulfur/Allium,Sulfur/Allium
CSCCCCCN=C=S,cabbage,Sulfur/Allium,Sulfur/Allium
CSCCC=O,cooked potato,Off-flavor,Off-flavor
CSC#N,sulfur,Sulfur/Allium,Sulfur/Allium
CSC,"cabbage, sulfur, gasoline",Sulfur/Allium|Off-flavor,Sulfur/Allium
CS(=O)C,garlic,Sulfur/Allium,Sulfur/Allium
CS(=O)(=O)C,"sulfur, burnt",Roasted/Nutty/Toasty|Sulfur/Allium,Roasted/Nutty/Toasty
CS,"sulfur, gasoline, garlic",Sulfur/Allium|Off-flavor,Sulfur/Allium
COCC1=CC=CC=C1,metal,Off-flavor,Off-flavor
COC1=CCCCC1,"herb, spice",Green/Herbal|Spicy,Green/Herbal
COC1=CC2=C(C=C1CC=C)OCO2,"spice, pepper",Spicy,Spicy
COC1=CC2=C(C=C1)C=CC(=O)O2,"balsamic, sweet",Woody/Resinous|Sweet/Vanilla/Caramel,Woody/Resinous
COC1=CC=CC=C1O,"smoke, sweet, medicine",Roasted/Nutty/Toasty|Sweet/Vanilla/Caramel,Roasted/Nutty/Toasty
COC1=CC=C(C=C1)CO,flower,Floral,Floral
COC1=CC=C(C=C1)CC=C,"licorice, anise",Spicy,Spicy
COC1=CC=C(C=C1)C=O,"mint, sweet",Mint/Cool|Sweet/Vanilla/Caramel,Mint/Cool
COC1=CC=C(C=C1)C=C,sweet,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
COC1=CC(=CC2=C1OCO2)CC=C,"spice, warm, balsamic",Woody/Resinous|Spicy,Woody/Resinous
COC1=CC(=CC(=C1OC)OC)CC=C,"spice, flower",Floral|Spicy,Floral
COC1=CC(=CC(=C1O)OC)CC=C,"sweet, flower",Floral|Sweet/Vanilla/Caramel,Floral
COC1=C(C2=C(C=C1CC=C)OCO2)OC,"wood, spice",Woody/Resinous|Spicy,Woody/Resinous
COC1=C(C=CC(=C1)CC=C)O,"clove, honey",Spicy|Sweet/Vanilla/Caramel,Spicy
COC1=C(C=CC(=C1)C=O)O,vanilla,Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
COC1=C(C=CC(=C1)C=C)O,"clove, curry",Spicy,Spicy
COC1=C(C=CC(=C1)C(=O)OC)O,"caramel, butterscotch, vanilla",Sweet/Vanilla/Caramel,Sweet/Vanilla/Caramel
COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC5=C(C=C4)OCO5)O,herb,Green/Herbal,Green/Herbal
COC1=C(C=C(C=C1)CC=C)OC,"clove, spice",Spicy,Spicy
COC1=C(C(=CC=C1)OC)O,"medicine, phenol, smoke",Roasted/Nutty/Toasty|Off-flavor,Roasted/Nutty/Toasty
