SMILES,threshold
C(=C(Cl)Cl)(Cl)Cl,0.27
C(=C(Cl)Cl)Cl,0.56
C(=C/Cl)\Cl,1.6
C(=O)O,1635
C(=S)=S,0.005
C(Br)(Br)Br,0.16
C(Br)(Br)I,0.0029
C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,0.01
C(C=CCl)Cl,0.12
C(CCl)Cl,15.9
C(Cl)(Br)Br,0.05
C(Cl)Cl,685
C(Cl)I,0.0058
C(CN)N,3.2
C(CO)O,13
C/C/1=C/CCC2(C(O2)CC(/C=C\C1)(C)C)C,
C/C/1=C\CC(/C=C/C/C(=C/CC1)/C)(C)C,
C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,
C/C=C(\C)/C(=O)OC,
C/C=C(\C)/C=O,0.5
C/C=C/C(=O)C,0.6
C/C=C/C(=O)C1C(=C)CCCC1(C)C,0.0092
C/C=C/C=C/C=O,
C/C=C/C=C/CO,
C/C=C/C1=CC(=C(C=C1)O)OC,
C/C=C/C1=CC=C(C=C1)OC,0.073
C/C=C/CCC=O,0.001
C[C@@]1(CC[C@@H](O1)C(C)(C)O)C=C,
C[C@@]12CC[C@@H](C1(C)C)CC2=O,
C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,
C[C@@]12CC[C@@H]3[C@H](CC3(C)C)C(=C)CC[C@H]1O2,
C[C@@H](CCC[C@@H](C)CCC/C(=C/CO)/C)CCCC(C)C,
C[C@@H](CCC=C(C)C)CC=O,
C[C@@H](CCC=C(C)C)CCO,
C[C@@H]1[C@H]2C[C@]2(CC1=O)C(C)C,
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,
C[C@@H]1CCO[C@@H](C1)C=C(C)C,
C[C@@H]1S[C@@H](SS1)C,
C[C@]12CCCC([C@@H]1CC[C@@]3([C@@H]2CCO3)C)(C)C,
C[C@H]1CC(=O)C[C@@H]2[C@@]1(C[C@H](CC2)C(C)C)C,
C[C@H]1CCC[C@]2([C@H]1CC[C@@H]3[C@@H]2CC[C@@H](C3)C(C)C)C,
C=CC(=O)O,5.25
C=CC(=O)OCCO,0.01
C=CC=O,0.11
C=CC1=CC=C(C=C1)O,7.56
C=CC1=CC=CC=C1,0.3
C=CC1=NC=CN=C1,1.165
C=CCCCCN=C=S,0.021
C=CCCCN=C=S,0.22
C=CCN=C=S,0.4
C=CCSCC=C,0.001
C=CCSSCC=C,0.0072
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O)O,3.5
C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,2.1
C1[C@@H]2C=C[C@H]1[C@H]3[C@@H]2[C@]4(C(=C([C@@]3(C4(Cl)Cl)Cl)Cl)Cl)Cl,22
C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,10
C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,2.92
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],4
C1=C(C=C(C(=C1Br)O)Br)Br,0.0295
C1=C(C=C(C(=C1Cl)Cl)Cl)Cl,0.4
C1=C(C=C(C(=C1Cl)N)Cl)Cl,0.05
C1=C(C=C(C(=C1Cl)O)Cl)Cl,0.62
C1=C(C=C(C=C1Cl)Cl)Cl,0.05
C1=C(C=C(C=C1Cl)Cl)O,0.25
C1=C(C=C(C=C1O)O)O,10
C1=CC(=C(C(=C1)Br)O)Br,0.0013
C1=CC(=C(C(=C1)Cl)C#N)Cl,0.2
C1=CC(=C(C(=C1)Cl)Cl)Cl,0.015
C1=CC(=C(C(=C1)Cl)Cl)O,0.03
C1=CC(=C(C(=C1)Cl)O)Cl,0.00775
C1=CC(=C(C(=C1)O)O)O,2
C1=CC(=C(C(=C1Cl)Cl)Cl)Cl,0.02
C1=CC(=C(C(=C1Cl)O)Cl)Cl,0.3
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,4
C1=CC(=C(C=C1[N+](=O)[O-])O)[N+](=O)[O-],2.4
C1=CC(=C(C=C1Cl)[N+](=O)[O-])O,0.8
C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,0.5
C1=CC(=C(C=C1Cl)Cl)Cl,0.005
C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,3.13
C1=CC(=C(C=C1N)Cl)Cl,0.003
C1=CC(=C(C=C1O)Cl)Cl,0.1
C1=CC(=CC(=C1)Br)O,0.05
C1=CC(=CC(=C1)Cl)Cl,0.095
C1=CC(=CC(=C1)Cl)N,1.11
C1=CC(=CC(=C1)Cl)O,0.125
C1=CC(=CC(=C1)F)O,2
C1=CC(=CC(=C1)O)[N+](=O)[O-],0.6
C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,23
C1=CC(=CC=C1O)Br,0.16
